theme,code,name
フィジカルAI,6857,アドバンテスト
フィジカルAI,6141,DMG森精機
フィジカルAI,6268,ナブテスコ
フィジカルAI,6406,フジテック
フィジカルAI,6134,FUJI
フィジカルAI,6890,フェローテックHD
フィジカルAI,6728,アルバック
フィジカルAI,6376,日機装
フィジカルAI,7718,スター精密
フィジカルAI,7011,三菱重工業
防衛安保,7011,三菱重工業
防衛安保,7012,川崎重工業
防衛安保,7013,IHI
防衛安保,7721,東京計器
防衛安保,7224,新明和工業
防衛安保,4275,カーリット
防衛安保,6946,日本アビオニクス
防衛安保,6703,沖電気工業
防衛安保,5631,日本製鋼所
防衛安保,6208,石川製作所
半導体,8035,東京エレクトロン
半導体,6920,レーザーテック
半導体,6857,アドバンテスト
半導体,7735,SCREENホールディングス
半導体,3436,SUMCO
半導体,6723,ルネサスエレクトロニクス
半導体,4063,信越化学工業
半導体,4185,JSR
半導体,6526,ソシオネクスト
半導体,6963,ローム
